form_id,timestamp,type,number,block_name,link,sender
94,2025-01-19 15:00,seminar,17,α % Семінар 17 %,https://forms.gle/pQk77GWxWPsAFcTo7,Корнієнко Сергій
95,2025-01-19 15:00,seminar,17,α % Семінар 17 %,https://forms.gle/VHPoNeJao9L9oH8v6,Корнієнко Сергій
96,2025-01-19 15:00,seminar,17,α % Семінар 17 %,https://forms.gle/e7rwYXUvBVoKvWbm6,Корнієнко Сергій
97,2025-01-19 15:00,seminar,17,α % Семінар 17 %,https://forms.gle/QEnGCDTfEqi6qVaj8,Корнієнко Сергій
98,2025-01-26 14:44,seminar,18,1 % Семінар 18 %,https://forms.gle/H7mdRtY2uwgUZkM39,Корнієнко Сергій
99,2025-01-26 14:44,seminar,18,1 % Семінар 18 %,https://forms.gle/XrTgx61TqmsmvCkB8,Корнієнко Сергій
100,2025-01-26 14:44,seminar,18,1 % Семінар 18 %,https://forms.gle/m7zpvRYdAaFTemty5,Корнієнко Сергій
101,2025-01-26 15:15,modular_control,3,,https://forms.gle/GWZ2whLagjjdGKjb8,Корнієнко Сергій
102,2025-02-02 13:38,seminar,19,Частина Аметист,https://forms.gle/ig9sBaxQafsHPUbi9,Корнієнко Сергій
103,2025-02-02 13:38,seminar,19,Частина Аметист,https://forms.gle/8oHroXn1uhqsYoxz9,Корнієнко Сергій
104,2025-02-02 13:38,seminar,19,Частина Аметист,https://forms.gle/WNYnS52jji3ww6Ya7,Корнієнко Сергій
105,2025-02-02 13:38,seminar,19,Частина Аметист,https://forms.gle/tJYXd4ng3gTaStW49,Корнієнко Сергій
106,2025-02-02 14:50,seminar,20,Частина Ахіл,https://forms.gle/nvHkgGsygv14XV958,Корнієнко Сергій
107,2025-02-02 14:50,seminar,20,Частина Ахіл,https://forms.gle/TmPFJEh1KF4tSZGx7,Корнієнко Сергій
108,2025-02-02 14:50,seminar,20,Частина Ахіл,https://forms.gle/Q2TiKXXg9UDQ5r4F9,Корнієнко Сергій
109,2025-02-02 14:50,seminar,20,Частина Ахіл,https://forms.gle/yubLaQXoc6BAdhgD8,Корнієнко Сергій
